index,hand,age,ace,df,svpt,svGms,bpSaved,bpFaced,rank,result,1stIn(%),1stWon(%),2ndWon(%)
0,0,27.1,5,3,127,17,8,15,35,1,72,61,31
1,0,27.5,2,3,49,8,8,13,70,0,53,50,45
2,0,23.7,14,4,91,15,2,4,43,0,53,88,54
3,1,32.5,6,3,52,9,3,3,46,1,52,85,73
4,0,20.5,2,3,63,9,6,7,79,1,52,88,41
5,0,22.8,3,4,85,12,2,6,90,1,61,67,52
6,0,33,2,3,74,10,3,4,98,0,49,64,60
7,0,21,11,1,69,10,2,2,13,1,62,74,72
8,0,32,1,3,66,10,4,6,43,0,70,63,65
9,0,27.9,16,5,102,16,6,7,8,1,54,82,62
10,0,26.6,9,5,73,11,7,10,23,0,63,70,55
11,0,26.6,7,5,90,13,7,12,74,0,52,68,58
12,0,21.9,6,3,81,11,6,10,217,1,68,65,43
13,0,30.4,1,2,83,11,8,11,90,0,65,63,56
14,0,22.2,5,5,53,9,1,2,159,1,53,82,65
15,0,24.1,19,2,50,9,0,0,6,1,78,92,67
16,0,23.8,8,3,120,19,10,12,125,1,63,67,71
17,1,26.6,2,1,49,9,2,4,123,0,67,67,53
18,0,25.6,6,1,47,9,3,5,11,1,47,77,58
19,0,26.2,19,4,71,14,2,3,51,1,72,88,69
20,0,26.3,7,2,56,8,6,7,50,1,45,68,66
21,0,25,9,1,48,8,4,7,6,0,52,68,50
22,0,26.8,8,3,77,13,1,4,1004,0,62,69,58
23,0,21,5,0,51,11,0,0,3,1,69,83,100
24,0,29.8,2,2,55,8,6,9,174,0,64,54,56
25,0,26.5,0,1,81,13,2,4,194,1,68,76,44
26,0,24.2,0,20,112,14,10,17,9,1,61,60,75
27,0,25.4,3,4,107,16,8,13,323,0,62,67,57
28,0,29.8,0,1,49,8,5,9,44,0,84,59,14
29,0,20.8,14,2,43,9,1,1,21,1,70,93,82
30,1,24.7,1,6,62,10,2,4,13,1,77,67,88
31,0,27.3,4,3,79,13,5,6,8,1,61,73,64
32,0,28.6,0,1,55,9,2,5,6,0,71,59,60
33,0,27,11,8,97,16,3,7,69,0,49,77,56
34,0,21.3,3,1,72,10,4,6,16,1,69,68,52
35,1,34.2,0,1,67,10,4,6,37,0,76,65,53
36,0,25.8,14,4,104,15,9,12,73,0,65,72,50
37,0,29.9,0,4,69,11,4,6,95,0,72,72,47
38,0,30.3,4,6,104,17,10,17,17,0,68,66,48
39,1,22,0,6,50,8,5,9,14,0,48,62,50
40,1,25.3,6,2,108,13,14,21,158,0,62,51,49
41,0,26.5,10,3,68,12,3,5,1,1,54,76,68
42,0,29.1,13,6,111,14,7,12,66,0,65,67,45
43,0,25.7,26,5,185,29,6,9,20,0,69,76,60
44,0,27.2,1,1,50,8,5,8,14,0,70,57,50
45,0,20.4,4,7,108,14,6,10,1129,0,53,68,50
46,0,25.9,2,1,51,8,4,7,56,0,35,72,53
47,0,21.9,6,8,109,16,7,11,39,0,63,71,50
48,0,30.4,0,0,122,15,13,16,111,1,51,71,47
49,0,26.8,3,0,80,15,2,6,69,0,69,76,44
50,0,32.8,3,0,94,11,4,6,80,0,65,56,67
51,0,34,2,2,50,9,2,5,641,0,62,68,53
52,0,26.5,7,3,55,9,4,7,96,0,60,70,42
53,0,30.4,0,0,49,9,0,5,49,0,90,48,60
54,0,25.2,1,1,60,10,4,6,61,1,72,63,62
55,0,22.6,14,6,94,16,5,7,52,1,59,80,70
56,0,28.8,0,6,63,8,6,9,9,0,59,70,45
57,0,27.3,9,1,74,12,1,3,13,0,58,67,70
58,0,31,16,8,119,16,8,11,156,0,56,76,48
59,1,27.2,6,1,66,12,2,4,39,1,70,78,63
60,0,26,4,1,81,12,2,4,45,0,57,74,50
61,0,27.2,1,0,31,6,2,7,82,0,71,41,0
62,0,31.5,15,2,73,11,3,4,17,1,48,83,58
63,0,31.7,3,5,58,9,3,6,58,0,52,60,70
64,0,26.3,14,5,82,14,1,3,14,1,62,80,62
65,1,21.8,4,1,52,7,2,6,44,0,50,54,48
66,0,27,10,5,87,15,4,6,77,1,62,74,68
67,0,36.2,14,1,83,14,4,7,58,1,65,76,57
68,0,30.5,0,1,89,13,5,10,49,0,67,62,36
69,0,22.7,2,10,72,12,1,7,4,0,42,70,47
70,0,34.7,18,8,176,27,5,10,21,0,55,67,65
71,0,22.1,9,0,99,16,2,2,52,0,75,76,64
72,0,28.9,5,2,99,15,5,8,1,1,71,70,52
73,0,23.8,1,2,52,8,2,7,38,0,54,64,36
74,0,21,10,2,63,11,5,6,13,1,60,79,65
75,0,32.7,8,1,68,11,1,1,19,1,65,86,57
76,0,23.9,1,3,69,11,3,5,69,1,70,73,56
77,0,23.1,3,2,76,13,3,6,163,1,53,68,59
78,0,27.4,10,5,90,16,6,7,36,1,54,82,67
79,0,26.5,2,2,57,10,2,2,46,1,61,71,90
80,0,25.5,2,2,55,9,3,8,145,0,67,49,38
81,0,25.3,17,2,132,17,7,10,120,1,60,80,39
82,0,23.5,10,0,55,10,3,4,65,1,58,72,74
83,0,24,10,2,42,8,2,2,148,1,57,92,69
84,0,31.4,1,3,52,9,2,2,1,1,62,75,82
85,0,26.9,6,3,63,10,4,5,31,1,68,67,76
86,0,30.2,2,2,58,8,1,1,5,1,72,71,64
87,0,25.6,5,9,96,14,5,9,117,0,58,73,61
88,1,25.6,2,4,61,8,4,7,25,1,59,58,62
89,0,26.8,5,5,131,15,12,18,152,0,59,56,57
90,0,26.3,7,2,91,15,3,4,16,1,57,77,68
91,0,24.7,2,0,74,12,4,7,160,1,61,58,59
92,0,26.8,3,2,72,9,5,9,87,0,56,55,47
93,0,29.6,8,6,75,11,2,3,174,1,45,74,71
94,1,27,5,10,159,26,6,14,250,0,48,62,57
95,0,25.7,7,3,95,15,0,2,140,0,54,80,59
96,0,24.7,0,1,79,11,11,16,373,0,59,60,42
97,0,19.1,12,4,88,16,4,7,101,1,61,78,63
98,0,28.8,9,3,92,15,3,5,57,1,67,76,56
99,0,24,1,6,83,12,6,10,37,0,57,62,67
100,0,26.2,5,4,60,9,6,10,106,0,58,71,38
101,0,34.7,1,2,61,10,1,3,16,0,70,70,50
102,0,24.6,8,4,74,13,0,2,82,1,65,71,68
103,1,22.5,3,4,93,16,2,4,67,1,56,71,65
104,0,21.7,2,8,67,8,9,13,113,0,55,62,50
105,0,24.5,4,5,107,14,6,11,95,0,66,65,42
106,0,37.8,4,0,90,14,4,5,3,1,66,76,61
107,0,29.4,6,3,69,10,1,1,62,1,51,83,58
108,0,23.2,3,1,52,9,2,2,2,1,85,75,71
109,0,26.2,10,3,118,17,8,10,10,1,64,70,62
110,0,29.3,4,3,46,8,2,6,352,0,72,61,20
111,0,25.9,5,7,104,16,4,8,104,0,64,66,67
112,0,23.8,2,1,54,10,2,3,35,1,72,74,57
113,0,31.5,6,3,55,10,1,1,14,1,45,88,74
114,0,22.2,1,4,68,9,5,9,63,0,53,67,39
115,0,25.1,11,0,80,15,3,4,14,1,65,83,64
116,1,28.4,19,4,91,14,6,7,34,1,60,80,56
117,0,23.9,2,3,59,9,1,2,2,1,61,72,60
118,0,25.3,4,2,76,9,4,6,81,1,53,55,62
119,0,29,8,1,58,11,0,0,194,1,60,86,82
120,0,25.6,6,1,71,12,7,10,15,0,59,69,68
121,0,21.2,4,2,98,15,1,5,125,0,66,68,48
122,0,25.4,7,2,71,10,4,5,103,1,63,78,50
123,0,28.9,6,4,72,11,4,5,55,1,60,74,80
124,0,22.8,5,0,93,15,3,6,56,1,60,70,54
125,0,30.8,9,1,171,22,12,16,59,0,62,60,59
126,1,23,1,1,90,11,8,11,49,0,69,65,44
127,0,26,6,2,41,8,0,0,23,1,63,88,69
128,0,23.2,8,3,48,8,2,3,162,1,58,79,59
129,1,18.1,2,2,62,10,3,5,71,1,73,69,53
130,0,25,31,4,122,21,3,6,16,1,61,77,58
131,0,32.8,3,4,82,13,7,11,37,0,71,79,25
132,0,26.4,11,1,82,14,1,2,6,1,78,77,53
133,0,25.4,0,7,78,9,12,16,45,0,49,61,48
134,0,24.1,2,3,61,10,0,0,22,1,51,81,67
135,0,27.9,3,0,52,9,3,4,70,1,75,72,54
136,1,30.1,5,2,64,9,5,6,30,1,70,71,47
137,1,33.9,6,3,89,15,4,5,19,1,55,82,68
138,0,30.3,2,0,60,11,2,7,80,0,43,58,50
139,0,23.3,4,4,122,18,5,9,23,1,64,69,60
140,1,26.1,3,2,63,13,0,2,90,0,57,69,84
141,0,25.8,0,1,48,8,2,2,63,1,77,73,60
142,0,22.8,11,3,72,10,6,11,193,0,51,70,41
143,0,26.8,1,0,78,9,8,10,56,1,77,63,44
144,0,24.6,24,13,123,18,8,13,16,0,60,70,67
145,0,27.5,5,6,96,13,6,10,25,0,55,68,46
146,0,29.4,1,1,68,12,2,6,49,0,71,54,68
147,0,22.8,2,1,45,8,1,2,100,1,58,65,78
148,0,20,12,5,97,14,5,11,37,0,37,75,46
149,0,26.8,8,2,59,10,1,1,22,1,44,69,84
150,0,27.9,10,3,57,10,0,2,12,0,67,76,50
151,0,23.6,11,2,92,15,3,5,1,1,57,69,63
152,0,31.7,8,4,81,11,6,8,145,1,62,74,48
153,0,23.8,13,0,49,10,0,0,42,1,65,88,71
154,0,21.8,1,3,94,14,10,12,124,1,65,75,53
155,0,33,13,1,56,11,1,2,67,1,71,90,53
156,1,30.6,4,3,64,9,5,7,70,0,61,74,41
157,0,30.3,19,5,48,8,2,2,40,1,65,87,75
158,0,28.6,4,1,93,14,6,10,33,0,63,69,45
159,0,25.3,8,3,116,14,13,18,46,0,61,61,52
160,0,22,1,3,48,7,4,10,88,0,40,47,35
161,1,29.2,4,3,63,9,1,5,59,0,43,85,36
162,0,21.6,5,4,71,12,2,6,9,1,59,64,44
163,0,24.4,4,1,112,15,6,8,77,1,59,64,58
164,0,22.6,17,4,87,15,2,2,129,1,59,78,81
165,0,21.7,4,8,121,15,10,15,26,1,59,65,52
166,0,22.3,7,2,61,10,1,1,82,1,52,78,67
167,0,25.5,6,1,101,14,5,6,121,1,60,67,69
168,0,31.8,6,1,115,15,7,10,138,1,57,68,55
169,0,30.4,5,2,108,15,9,14,45,0,58,68,42
170,0,26.4,10,5,40,5,4,4,97,1,48,84,62
171,0,31.6,8,3,77,11,7,10,86,0,48,65,59
172,0,25.5,4,2,35,5,4,4,93,1,57,75,77
173,1,36.3,10,6,87,15,1,4,140,0,75,74,56
174,0,21.6,4,5,61,8,8,14,90,0,61,49,42
175,0,20.5,7,2,69,13,0,1,19,1,71,76,78
176,0,21.8,1,0,41,7,3,8,100,0,80,45,25
177,0,24.6,7,1,64,10,2,4,19,1,58,76,50
178,0,31.7,5,1,58,10,0,0,28,1,59,85,57
179,0,22.7,7,2,68,12,3,3,27,0,87,81,86
180,0,29,13,0,70,10,1,3,11,0,70,69,48
181,0,26.4,15,0,104,17,1,3,58,0,65,81,53
182,1,24.2,6,1,45,8,2,5,62,0,64,59,53
183,0,21.6,3,4,112,19,5,9,13,1,60,67,68
184,0,28.1,23,8,190,25,10,15,38,0,64,81,38
185,0,31,4,1,89,13,6,11,486,0,55,53,59
186,0,27.6,3,7,101,15,7,12,82,0,55,66,55
187,0,30.9,13,11,132,20,5,8,23,1,55,82,55
188,0,30,5,9,154,25,8,14,76,0,59,73,56
189,1,39.3,11,7,78,14,5,9,65,0,56,73,63
190,1,31.5,2,4,109,14,12,16,109,0,68,65,52
191,0,26,1,1,90,13,8,15,45,0,67,55,48
192,0,21.4,7,2,42,8,0,1,7,1,67,79,67
193,1,29.2,2,6,89,11,9,13,68,0,57,65,41
194,0,24.6,4,1,97,14,9,12,80,1,62,65,56
195,0,27.9,3,1,58,8,6,6,87,1,66,68,74
196,0,25.1,8,9,97,15,7,11,86,0,55,77,46
197,0,25,1,3,55,10,2,8,223,0,51,54,42
198,0,23.9,2,2,115,15,4,9,204,0,63,58,57
199,0,22.5,5,1,46,9,0,4,224,0,63,69,38
200,0,20.9,5,1,62,10,0,3,101,0,55,68,59
201,1,27.1,0,1,48,8,3,8,33,0,54,42,52
202,0,23.6,1,0,97,18,3,7,15,1,59,68,65
203,0,32.6,2,2,60,10,4,5,68,1,43,77,69
204,0,25.6,0,3,39,6,2,7,44,0,64,44,45
205,0,26.7,6,2,104,14,6,10,62,0,57,64,51
206,0,28.1,0,2,20,3,4,7,76,0,60,42,17
207,0,31.2,12,5,105,17,8,10,19,0,55,78,57
208,0,23.3,5,7,113,17,2,5,22,0,51,74,65
209,0,28.1,3,2,82,13,4,7,129,1,62,69,52
210,0,29.5,2,3,51,8,1,1,65,1,57,76,68
211,0,25,2,3,70,13,0,3,9,1,63,70,70
212,1,26.5,0,0,86,12,7,10,86,0,64,55,65
213,0,29.6,9,0,32,6,0,2,62,1,59,74,31
214,0,23.4,0,2,80,13,3,10,29,0,48,45,55
215,1,31.6,29,4,100,15,3,4,46,1,65,75,74
216,0,25.9,5,1,98,15,7,11,52,1,51,70,51
217,0,29.5,6,3,53,10,2,5,99,0,60,72,56
218,0,19.8,7,0,65,10,3,3,80,1,55,86,55
219,0,21.7,0,3,38,7,0,4,80,0,58,55,54
220,0,27.2,6,3,65,10,0,1,76,1,62,78,55
221,0,24.2,6,0,48,9,0,1,2,1,31,87,67
222,0,29.6,5,4,43,9,0,0,5,1,53,96,88
223,0,24.4,9,0,47,9,1,1,3,1,51,88,70
224,0,25.7,11,5,102,15,5,9,32,1,57,71,56
225,0,24.3,15,5,111,15,6,6,5,1,62,78,57
226,1,27.8,1,0,71,10,12,18,77,0,56,65,26
227,0,34.7,2,1,59,9,3,6,100,0,53,68,48
228,0,26,7,3,63,11,2,4,4,0,75,81,38
229,0,28.6,7,3,72,10,2,5,46,0,50,75,52
230,1,29.9,4,4,85,12,5,6,7,1,55,81,53
231,0,22,4,4,123,17,9,15,57,1,55,66,49
232,0,28.2,11,1,91,12,10,11,25,1,70,75,42
233,0,27.8,5,2,90,16,2,3,32,1,70,78,76
234,0,28.9,4,0,42,8,0,0,147,1,48,85,73
235,0,20,2,4,55,8,4,8,26,0,44,62,48
236,0,23.2,2,3,98,14,7,11,82,1,72,68,50
237,0,27.8,1,2,96,16,4,6,51,0,76,74,57
238,0,32.1,7,3,80,15,2,5,62,1,59,79,53
239,0,30.3,7,5,72,13,2,2,27,1,67,88,68
240,0,24.1,15,4,97,15,5,6,11,1,59,82,58
241,0,29.9,3,4,50,8,3,4,5,1,54,85,53
242,1,23,6,3,81,15,2,7,101,1,59,67,57
243,0,24.8,14,11,101,14,5,8,36,1,42,83,50
244,0,21.6,29,4,94,14,3,4,16,1,57,89,53
245,1,22,8,4,94,15,7,10,39,1,57,78,44
246,0,35.1,9,0,64,11,1,2,58,1,62,88,54
247,0,28.5,2,2,69,11,2,5,59,1,52,64,58
248,0,26.2,2,2,21,4,0,0,60,1,48,80,89
249,1,24.6,2,3,54,9,3,5,41,1,52,71,57
250,0,19.8,4,2,81,12,4,7,77,1,53,65,58
251,0,19.2,2,4,73,10,3,7,12,0,64,62,41
252,0,24.2,6,5,108,15,5,9,21,1,66,65,56
253,0,30.1,23,1,86,15,1,2,17,1,72,79,65
254,1,28.1,16,4,72,14,3,6,46,0,71,76,65
255,0,22.3,5,1,57,9,4,8,101,0,54,52,60
256,0,33.7,10,3,121,20,2,3,1,1,68,78,64
257,0,21.8,2,1,44,9,0,0,154,1,73,84,82
258,0,23.5,7,2,46,10,1,3,10,0,70,88,50
259,0,20,8,10,53,9,5,9,352,0,40,86,50
260,0,28.6,2,1,57,8,5,6,19,1,58,64,65
261,0,23.7,7,0,66,11,2,2,32,1,50,88,64
262,0,22.1,10,0,135,20,12,13,12,1,59,68,73
263,0,35.9,0,2,66,10,2,4,39,1,48,78,56
264,0,21.3,15,2,100,16,2,5,70,0,55,78,58
265,0,23.1,6,8,84,13,5,9,60,1,56,72,52
266,0,27.4,1,5,112,15,10,17,45,0,58,58,52
267,0,22.2,2,1,53,8,3,6,82,0,45,62,50
268,0,30.2,11,6,90,11,5,6,19,1,62,79,50
269,0,25.8,1,2,70,10,2,6,32,0,60,57,54
270,1,22.2,16,5,82,14,4,7,59,0,63,71,56
271,1,20.8,2,5,110,16,4,7,97,1,60,65,62
272,0,27.4,1,1,53,9,0,2,120,0,68,64,69
273,0,20.8,7,0,82,12,2,2,94,0,76,71,65
274,0,27.5,4,4,78,12,4,9,68,1,63,65,44
275,0,24.3,8,1,90,14,2,4,54,0,62,71,52
276,0,20.5,7,1,35,7,3,3,3,1,66,78,100
277,1,28.7,5,2,75,10,5,8,46,0,64,60,56
278,0,30,3,3,94,15,5,9,287,0,40,79,55
279,1,22.3,6,9,120,16,9,12,79,1,51,70,64
280,0,25.8,4,8,65,9,5,6,3,1,58,74,63
281,0,21.5,6,2,110,17,11,17,11,0,54,73,47
282,0,26.2,25,3,168,24,10,14,41,0,60,78,45
283,1,20,1,4,113,16,5,8,239,1,58,68,59
284,0,22.9,11,3,60,9,1,2,96,1,58,80,55
285,0,29.2,1,2,12,1,0,0,99,1,58,71,67
286,0,23.1,6,0,60,10,5,7,36,1,67,75,50
287,0,27.8,5,5,125,15,7,12,17,0,74,71,43
288,0,29.5,3,8,85,10,7,13,108,0,47,57,49
289,0,26.2,4,0,67,9,7,11,29,0,76,51,56
290,1,27.6,6,1,53,10,1,1,93,1,64,88,67
291,0,23.6,1,5,85,13,12,14,129,1,52,75,61
292,0,26.7,16,5,85,15,3,6,96,0,60,82,52
293,1,24.1,4,0,38,7,5,10,71,0,39,60,22
294,0,23.2,4,13,73,12,3,7,77,0,58,69,67
295,1,17.2,1,4,59,9,3,6,370,0,61,67,58
296,0,28.4,15,6,122,18,3,6,10,1,58,79,58
297,0,22.2,4,0,69,12,2,6,72,0,52,67,55
298,0,33.5,3,0,50,9,2,3,39,1,74,78,62
299,0,19.8,5,3,106,18,3,5,18,1,54,79,63
300,0,33.2,0,5,42,8,4,7,156,0,50,62,56
301,1,31.8,1,2,109,16,3,7,38,0,61,61,62
302,0,32,3,1,81,12,5,6,9,1,60,76,55
303,0,22.1,4,5,80,12,7,13,54,0,55,57,52
304,1,32.4,19,5,113,18,9,13,118,0,61,72,51
305,0,21.5,18,7,142,22,8,11,70,1,61,76,59
306,0,24.3,11,2,72,10,3,4,106,1,65,72,61
307,0,22.3,2,0,13,2,2,3,149,0,38,80,38
308,0,23.6,4,0,45,8,0,1,7,1,69,74,43
309,0,25.3,12,8,99,15,5,8,66,0,60,71,44
310,0,34.2,12,2,90,15,2,3,3,1,68,75,63
311,0,28.6,4,0,48,9,3,4,20,1,48,87,60
312,0,27.4,4,3,95,15,3,7,172,0,61,69,50
313,1,26.1,1,1,43,8,0,0,25,1,86,81,60
314,0,25,1,1,61,11,4,8,71,0,64,56,62
315,0,27.1,1,2,52,8,3,5,39,0,42,59,64
316,1,21.7,9,1,86,14,3,5,80,1,72,69,70
317,0,25.1,10,3,84,14,5,8,6,0,51,81,47
318,0,25.2,14,1,61,11,2,3,16,0,61,89,52
319,0,30.7,5,3,44,9,0,1,36,1,59,85,80
320,0,29,5,0,65,10,8,12,40,0,72,57,39
321,0,22.9,1,3,62,9,3,7,88,0,60,54,50
322,0,23.4,31,4,138,24,4,7,18,1,63,80,62
323,0,23.3,8,0,59,11,0,0,24,1,75,91,80
324,0,21.6,12,5,108,17,1,1,637,1,66,79,69
325,0,26.5,10,0,50,9,1,1,94,1,58,86,62
326,0,34.7,10,2,72,11,3,4,95,1,58,74,71
327,0,27,13,2,84,11,6,7,11,0,65,67,59
328,0,27.7,4,1,101,12,12,15,76,0,61,68,42
329,0,26,3,1,85,11,12,14,74,1,68,64,58
330,0,25.4,8,2,40,8,1,1,144,1,72,86,89
331,1,18.4,2,7,83,13,3,9,802,0,47,62,57
332,0,23.4,3,0,72,10,4,7,53,1,72,69,40
333,0,22.3,13,10,105,17,3,7,15,1,49,80,64
334,1,22.6,3,3,56,9,1,1,24,1,70,77,71
335,1,29.9,1,3,103,15,4,9,55,0,59,64,51
336,0,25.1,0,4,59,10,1,3,42,0,61,69,74
337,0,23.9,1,1,55,8,5,6,15,1,85,66,57
338,0,28,4,5,60,9,2,6,71,0,60,58,42
339,0,30.3,9,5,66,10,3,6,108,0,44,79,56
340,0,31.2,0,1,63,9,5,7,49,1,46,66,52
341,0,29,12,4,143,21,5,7,10,0,61,83,58
342,0,24,3,4,72,10,4,7,23,0,62,71,43
343,0,29.1,1,0,72,11,1,4,178,0,51,59,49
344,0,24.1,1,0,48,9,1,2,95,1,67,81,56
345,0,22.7,6,2,71,10,3,6,25,0,68,69,38
346,0,27.6,4,3,49,9,1,3,11,0,65,84,43
347,0,34.9,20,3,113,17,3,8,105,1,67,72,47
348,0,27.2,4,0,70,9,7,9,32,0,63,57,58
349,1,30.7,3,2,53,10,3,4,64,1,53,93,57
350,0,31.7,9,5,79,12,5,7,110,1,62,78,72
351,0,21,2,1,65,10,2,4,53,0,80,69,50
352,0,25.7,8,2,78,14,2,5,34,0,67,67,67
353,0,27.5,5,2,84,12,3,5,16,0,46,67,60
354,0,27.2,14,2,69,11,1,2,76,1,67,83,57
355,0,26.3,3,3,57,10,1,2,266,1,67,79,56
356,0,23.8,18,5,97,15,7,10,6,0,59,82,49
357,1,23.7,6,2,110,15,11,16,77,1,58,69,39
358,1,23.7,1,5,79,13,5,9,35,1,70,69,63
359,0,33.5,1,0,58,9,0,0,169,1,55,72,62
360,1,24.7,1,5,67,9,5,9,47,0,60,62,50
361,0,20.5,5,2,95,15,4,7,69,0,72,63,56
362,0,29.6,1,4,47,8,3,7,31,0,28,69,50
363,0,20.5,11,3,85,14,8,10,50,1,64,81,50
364,1,22.1,11,3,78,13,3,7,205,0,55,77,47
365,0,26,8,2,34,7,0,0,134,1,59,95,75
366,0,23.6,11,0,49,9,1,1,13,1,65,88,59
367,0,22.3,16,6,112,20,1,6,88,0,53,75,55
368,0,24.1,0,4,90,14,5,9,80,1,70,65,65
369,0,22.2,7,2,80,10,8,10,29,0,65,71,50
370,0,26.8,4,1,72,12,1,3,16,0,62,73,58
371,0,23.6,14,2,102,17,2,8,59,1,54,69,51
372,0,21.3,7,7,68,9,7,10,42,0,60,66,50
373,0,23.9,7,4,67,11,3,4,21,1,61,78,68
374,0,20.3,11,9,157,22,8,15,59,0,62,71,46
375,0,25.5,3,1,61,11,0,1,38,1,57,83,68
376,0,28.3,2,2,70,12,5,11,195,0,61,58,44
377,0,23,3,3,65,10,3,6,121,0,69,64,59
378,0,28,5,4,74,12,2,4,55,1,58,72,74
379,1,28,2,0,80,13,2,7,121,0,70,61,58
380,0,28.4,5,0,97,15,4,7,44,1,63,69,56
381,0,23,4,7,117,16,9,14,28,0,65,70,44
382,0,27,1,7,102,14,9,13,82,1,61,66,52
383,1,33.6,2,3,70,9,6,9,55,0,61,67,38
384,0,25.3,10,4,65,9,6,8,140,0,48,71,60
385,0,21.3,0,2,44,8,0,0,16,1,73,75,80
386,1,27.2,3,1,59,12,0,0,9,1,68,80,89
387,1,30.5,16,4,124,19,5,12,61,0,69,62,47
388,0,29.5,7,3,77,11,6,8,3,1,69,81,38
389,0,27.7,12,4,151,23,2,3,59,0,58,75,63
390,0,22.6,3,0,57,11,0,0,4,1,56,84,68
391,1,24.3,3,1,55,8,1,2,65,1,56,68,57
392,0,21.7,5,1,29,6,0,0,141,1,69,90,75
393,0,22.1,2,0,74,13,2,2,114,1,54,80,68
394,0,22.9,7,1,62,10,6,8,12,1,63,74,55
395,0,28.2,4,0,61,10,4,8,36,0,80,59,25
396,0,22.7,7,2,49,8,3,4,55,1,57,82,53
397,0,26.5,7,4,71,10,3,4,22,1,52,81,50
398,0,19.7,6,2,106,15,5,10,44,0,59,68,46
399,0,27.4,12,6,92,15,1,5,25,0,50,76,57
400,0,31.3,6,1,48,9,1,1,96,1,75,81,73
401,0,25,7,1,48,8,4,4,51,1,50,88,65
402,0,23.3,2,0,56,10,1,4,34,0,61,65,59
403,0,29.2,1,2,67,11,7,12,113,0,52,60,43
404,1,25.4,7,2,87,15,1,2,96,1,67,79,74
405,0,32.6,8,2,86,15,5,8,87,1,70,75,50
406,0,29.6,1,2,102,14,11,14,68,1,70,59,72
407,0,30,6,2,88,14,2,3,104,1,65,75,62
408,0,19.9,7,2,123,17,4,4,27,1,59,74,67
409,1,26.3,2,1,52,8,5,5,97,1,56,76,64
410,0,25,6,3,69,10,1,2,17,1,51,69,65
411,0,23.9,14,0,103,15,8,10,5,1,66,78,37
412,0,24,3,5,108,20,2,10,17,0,58,59,57
413,0,26.2,2,5,49,8,0,5,322,0,63,52,38
414,0,28.1,13,1,94,13,11,13,8,1,55,75,49
415,0,29.1,10,3,64,10,5,7,21,1,66,71,58
416,0,23.5,2,2,50,9,0,1,100,1,62,87,59
417,0,25.3,6,7,83,13,7,14,81,0,49,68,34
418,0,23.8,0,4,46,7,3,10,160,0,54,32,29
419,0,26,6,2,57,9,0,1,46,1,61,77,55
420,0,30.9,6,5,73,11,5,6,12,1,63,72,59
421,0,22.5,11,4,73,14,3,5,120,1,59,81,62
422,0,26.7,5,3,87,13,3,5,135,0,67,74,58
423,0,33.9,4,1,50,9,3,6,71,0,58,72,50
424,0,30.4,5,2,97,15,3,4,71,0,61,78,58
425,0,22.5,11,2,74,12,4,10,71,0,69,65,24
426,0,25.3,6,3,89,15,3,7,51,1,60,74,45
427,0,29.8,8,6,80,13,6,10,4,0,55,64,60
428,0,23.9,25,5,127,23,2,4,91,1,65,87,57
429,0,27.2,14,0,51,10,1,1,62,1,57,90,68
430,0,24.4,4,2,66,10,2,4,8,0,68,60,74
431,1,31,7,0,74,10,4,6,66,1,61,78,52
432,1,30.2,0,3,87,11,9,14,29,0,56,57,54
433,0,19.6,5,3,98,14,9,13,101,0,61,68,46
434,0,31.7,7,2,79,12,1,4,24,0,70,62,45
435,0,25.1,17,4,96,13,6,8,79,0,55,72,59
436,0,24.6,2,4,70,11,1,5,45,0,54,71,46
437,1,25,4,5,103,14,12,17,36,0,51,70,49
438,0,23.7,4,2,59,8,8,12,35,0,64,61,37
439,0,27.4,4,4,49,9,2,5,80,0,55,67,67
440,0,23.5,10,6,118,18,5,10,64,0,54,69,60
441,0,24,2,4,98,15,3,8,120,0,51,72,41
442,0,22.8,9,3,64,9,1,1,4,1,66,76,53
443,1,23.3,12,0,87,15,2,3,61,1,63,84,59
444,0,20.9,1,0,82,13,5,6,25,1,60,71,64
445,1,31.4,4,3,57,9,8,9,103,1,63,72,61
446,1,32,5,6,138,17,15,19,41,0,58,61,58
447,0,25.3,6,4,58,10,7,11,94,0,67,59,53
448,1,23.3,11,1,69,12,0,2,36,1,71,73,68
449,0,27.1,24,3,114,18,7,8,45,1,69,78,72
450,1,25.5,13,4,86,15,0,3,42,1,71,74,62
451,0,32.9,3,1,67,12,7,12,131,0,55,68,41
452,0,27.6,7,5,69,12,1,4,16,1,65,76,63
453,1,23.9,8,0,34,7,0,0,128,1,59,90,71
454,0,20.1,5,1,74,11,2,3,63,1,61,76,68
455,0,31.5,3,1,48,8,3,6,50,0,52,72,36
456,1,29.9,2,2,53,10,2,3,55,1,72,76,69
457,0,23.2,14,2,91,16,0,4,90,1,63,75,53
458,0,24.9,0,1,56,10,3,4,22,1,59,73,73
459,0,25.6,4,0,57,9,7,8,181,1,68,74,50
460,0,21.2,6,1,51,10,1,3,3,1,75,74,58
461,0,32.9,6,4,54,8,0,3,56,0,56,70,40
462,0,24.6,3,9,96,16,3,7,79,0,56,72,61
463,0,20.9,2,0,19,4,0,0,3,1,68,85,83
464,0,30,4,1,78,12,6,7,50,1,60,81,50
465,1,31.8,2,1,64,10,4,7,31,0,64,59,55
466,0,29.4,4,3,95,15,1,7,197,1,66,62,48
467,0,24.4,2,2,48,8,1,5,17,0,56,63,47
