index,hand,age,ace,df,svpt,svGms,bpSaved,bpFaced,rank,result,1stIn(%),1stWon(%),2ndWon(%)
46390,0,22.1,9,2,62,10,1,3,116,0,52,75,57
46391,0,23.9,5,2,58,10,0,1,38,1,66,74,67
46392,0,22.6,16,11,171,21,4,6,101,1,44,84,56
46393,0,32.5,7,3,82,11,5,8,59,1,43,74,50
46394,1,27.2,7,2,57,11,0,0,72,1,61,83,75
46395,0,23,2,1,53,8,2,5,173,0,70,62,40
46396,0,27.2,2,1,81,12,5,8,80,1,70,60,52
46397,0,23.3,12,5,67,9,5,5,24,1,64,81,47
46398,1,22.7,1,0,86,13,9,13,256,0,49,57,55
46399,0,34.1,9,4,89,16,5,7,167,1,58,87,61
46400,1,20.4,4,2,95,14,8,13,60,0,68,58,61
46401,0,26.3,8,4,91,15,5,9,66,0,57,75,49
46402,1,25.2,5,3,115,14,15,17,60,0,60,68,58
46403,0,27.7,2,5,79,11,3,4,48,0,63,70,62
46404,1,29.1,14,1,65,13,1,5,54,0,63,83,43
46405,0,29.8,12,4,90,14,4,8,7,0,67,68,54
46406,0,25,0,0,56,8,7,10,139,0,66,59,53
46407,0,30.7,3,9,110,16,11,14,26,1,54,73,67
46408,0,20.9,5,1,55,9,6,10,61,0,62,68,40
46409,0,24.5,12,3,81,11,7,9,200,1,52,74,61
46410,0,21.5,3,1,50,8,2,6,18,0,50,52,42
46411,0,33.9,5,2,78,11,3,6,68,1,53,71,57
46412,0,25.1,27,12,100,16,3,3,41,1,61,90,70
46413,1,33.3,19,2,68,12,2,2,37,1,66,87,67
46414,0,23.1,8,1,97,17,1,2,26,1,57,87,66
46415,0,26.4,1,4,93,14,3,7,77,1,63,68,47
46416,0,21.7,8,1,61,10,3,4,3,1,72,77,56
46417,0,23.8,8,2,58,10,3,4,5,0,69,90,50
46418,0,24.9,3,4,59,8,9,14,52,0,44,54,41
46419,1,27.4,11,3,111,16,12,17,279,0,43,73,50
46420,0,24.2,6,2,52,10,0,0,130,1,44,100,78
46421,0,24.1,5,4,63,11,4,10,42,0,49,61,43
46422,0,22.4,8,2,90,15,1,3,2,1,53,75,62
46423,0,26.7,0,2,62,8,5,9,106,0,73,58,33
46424,0,26.4,13,7,78,14,2,3,242,1,68,81,78
46425,0,26.6,1,0,52,10,3,3,42,1,58,83,73
46426,0,17.9,12,2,80,14,0,3,596,1,55,75,56
46427,0,25.1,2,0,49,9,1,2,36,1,63,81,61
46428,1,37.7,18,8,136,21,6,10,54,0,63,76,55
46429,0,22,8,6,75,11,7,9,62,1,55,80,54
46430,1,31.5,1,0,71,10,4,7,56,0,72,63,45
