level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
57265,57265,Australian Open,Hard,20150119,104527,29.8,104198,7-6(2) 6-4 4-6 7-6(8),R16,16,3,134,86,66,24,22,5,9,1,64,77,53
57272,57272,Australian Open,Hard,20150119,104527,29.8,105453,6-3 6-4 7-6(6),QF,21,4,91,56,48,19,16,3,4,1,62,86,61
57397,57397,Rotterdam,Hard,20150209,104527,29.8,104619,6-3 3-6 6-3,R32,8,3,104,61,43,22,14,8,10,1,59,70,55
57407,57407,Rotterdam,Hard,20150209,104527,29.8,104198,6-7(2) 6-4 6-2,R16,8,0,92,58,46,18,15,3,4,1,63,79,53
57412,57412,Rotterdam,Hard,20150209,104527,29.8,104180,7-6(3) 6-3,QF,9,1,60,37,29,19,11,2,3,1,62,78,86
57415,57415,Rotterdam,Hard,20150209,104527,29.8,105683,7-6(3) 7-6(7),SF,10,3,86,57,47,17,12,6,6,1,66,82,65
57416,57416,Rotterdam,Hard,20150209,104527,29.8,104607,4-6 6-3 6-4,F,3,1,83,53,41,15,15,2,4,1,64,77,52
57494,57494,Marseille,Hard,20150216,104527,29.8,105332,6-2 6-3,R16,1,0,65,46,30,15,9,4,4,1,71,65,79
57764,57764,Miami Masters,Hard,20150325,104527,29.9,104122,6-7(9) 7-5 6-2,R64,5,8,114,44,36,37,16,4,6,1,39,82,60
57901,57901,Monte Carlo Masters,Clay,20150412,104527,30,104338,6-1 6-4,R32,2,2,48,21,19,14,9,2,4,1,44,90,56
58106,58106,Madrid Masters,Clay,20150503,104527,30,105311,7-6(1) 7-5,R32,2,1,76,42,37,17,12,2,3,1,55,88,52
58162,58162,Rome Masters,Clay,20150510,104527,30.1,104338,4-6 6-3 6-2,R32,7,1,102,56,40,18,14,8,12,1,55,71,40
58173,58173,Rome Masters,Clay,20150510,104527,30.1,106233,7-6(3) 6-4,R16,9,3,61,32,30,18,11,1,1,1,52,94,69
58179,58179,Rome Masters,Clay,20150510,104527,30.1,104745,7-6(7) 6-2,QF,1,2,82,47,30,20,10,7,9,1,57,64,61
58196,58196,Geneva,Clay,20150517,104527,30.1,104586,6-4 3-6 6-3,R16,6,1,73,37,28,24,14,1,3,1,51,76,69
58286,58286,Roland Garros,Clay,20150524,104527,30.1,104947,6-3 6-2 6-3,R128,10,5,86,50,39,21,13,6,6,1,58,78,68
58325,58325,Roland Garros,Clay,20150524,104527,30.1,105583,6-3 6-4 5-7 6-3,R64,11,9,131,57,40,38,20,6,11,1,44,70,58
58344,58344,Roland Garros,Clay,20150524,104527,30.1,105449,6-4 6-3 6-2,R32,8,0,76,41,38,21,14,0,0,1,54,93,60
58354,58354,Roland Garros,Clay,20150524,104527,30.1,104468,6-1 6-4 6-2,R16,5,4,80,34,27,27,13,2,3,1,42,79,64
58359,58359,Roland Garros,Clay,20150524,104527,30.1,103819,6-4 6-3 7-6(4),QF,4,0,92,50,44,26,15,4,4,1,54,88,62
58361,58361,Roland Garros,Clay,20150524,104527,30.1,104542,6-3 6-7(1) 7-6(3) 6-4,SF,15,6,157,82,62,44,22,16,17,1,52,76,64
58362,58362,Roland Garros,Clay,20150524,104527,30.1,104925,4-6 6-4 6-3 6-4,F,9,3,126,84,64,21,20,8,10,1,67,76,54
58463,58463,Queen's Club,Grass,20150615,104527,30.2,106401,6-3 6-4,R32,9,2,52,30,28,15,10,3,3,1,58,93,75
58542,58542,Wimbledon,Grass,20150629,104527,30.2,105311,6-2 7-5 7-6(3),R128,25,3,93,56,48,23,16,0,0,1,60,86,68
58597,58597,Wimbledon,Grass,20150629,104527,30.2,103607,6-3 6-4 7-5,R64,15,6,93,50,41,27,16,2,2,1,54,82,73
58625,58625,Wimbledon,Grass,20150629,104527,30.2,104269,6-4 6-3 6-4,R32,14,3,87,55,48,17,15,4,4,1,63,87,59
58639,58639,Wimbledon,Grass,20150629,104527,30.2,105676,7-6(3) 7-6(7) 6-4,R16,13,6,115,65,54,24,17,2,4,1,57,83,55
59003,59003,Cincinnati Masters,Hard,20150816,104527,30.3,106432,3-6 7-6(3) 6-3,R32,16,4,95,52,43,24,16,0,2,1,55,83,62
59017,59017,Cincinnati Masters,Hard,20150816,104527,30.3,103333,6-7(2) 7-6(5) 7-6(5),R16,8,3,132,78,62,34,18,3,3,1,59,79,67
59109,59109,US Open,Hard,20150831,104527,30.4,105077,7-5 6-4 7-6(6),R128,9,9,122,67,50,27,17,4,7,1,55,75,59
59157,59157,US Open,Hard,20150831,104527,30.4,111202,7-6(2) 7-6(4) 7-6(6),R64,26,1,134,77,58,35,18,5,7,1,57,75,62
59181,59181,US Open,Hard,20150831,104527,30.4,105074,6-3 7-6(5) 6-4,R32,8,7,102,46,37,31,15,8,11,1,45,80,63
59193,59193,US Open,Hard,20150831,104527,30.4,105385,6-4 1-6 6-3 6-4,R16,10,3,102,53,43,26,18,3,6,1,52,81,57
59199,59199,US Open,Hard,20150831,104527,30.4,104731,6-4 6-4 6-0,QF,6,2,66,32,30,23,13,1,1,1,48,94,72
59216,59216,Metz,Hard,20150921,104527,30.4,104460,4-6 6-3 7-6(4),R16,8,0,104,66,48,26,16,4,5,1,63,73,68
59341,59341,Tokyo,Hard,20151005,104527,30.5,103285,7-5 6-3,R32,11,2,57,37,30,12,11,0,1,1,65,81,67
59357,59357,Tokyo,Hard,20151005,104527,30.5,105147,6-3 2-6 6-4,R16,7,1,92,48,35,23,14,5,8,1,52,73,53
