level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
7085,7085,Wimbledon,Grass,20220627,104925,35,111815,2-6 6-3 6-2 6-4,SF,13,1,88,57,47,18,18,1,4,1,65,82,60
7086,7086,Wimbledon,Grass,20220627,104925,35,106401,4-6 6-3 6-4 7-6(3),F,15,7,119,75,62,27,22,5,6,1,63,83,73
7695,7695,Atp Cup,Hard,20200106,104925,32.6,104745,6-2 7-6(4),F,12,2,64,49,41,9,10,5,5,1,77,84,69
7697,7697,Atp Cup,Hard,20200106,104925,32.6,106421,6-1 5-7 6-4,SF,4,5,111,75,53,16,15,8,11,1,68,71,52
7701,7701,Atp Cup,Hard,20200106,104925,32.6,133430,4-6 6-1 7-6(4),QF,4,8,106,64,46,24,15,5,7,1,60,72,71
7709,7709,Atp Cup,Hard,20200106,104925,32.6,104792,6-3 6-2,RR,0,5,70,36,26,20,9,9,9,1,51,72,69
7711,7711,Atp Cup,Hard,20200106,104925,32.6,104731,7-6(5) 7-6(6),RR,10,1,74,55,43,13,12,3,4,1,74,78,72
7713,7713,Atp Cup,Hard,20200106,104925,32.6,106426,6-3 6-3,RR,3,4,53,30,26,11,9,1,2,1,57,87,58
7925,7925,Australian Open,Hard,20200120,104925,32.6,105526,7-6(5) 6-2 2-6 6-1,R128,14,3,92,60,46,16,18,1,5,1,65,77,55
7956,7956,Australian Open,Hard,20200120,104925,32.6,105147,6-1 6-4 6-2,R64,16,5,64,46,43,10,13,0,0,1,72,93,77
7972,7972,Australian Open,Hard,20200120,104925,32.6,106415,6-3 6-2 6-2,R32,17,2,62,46,43,11,13,1,1,1,74,93,79
7980,7980,Australian Open,Hard,20200120,104925,32.6,106043,6-3 6-4 6-4,R16,8,1,86,55,41,21,15,2,3,1,64,75,70
7984,7984,Australian Open,Hard,20200120,104925,32.6,105683,6-4 6-3 7-6(1),QF,4,1,101,70,60,15,16,2,2,1,69,86,50
7986,7986,Australian Open,Hard,20200120,104925,32.6,103819,7-6(1) 6-4 6-3,SF,11,1,102,74,54,15,16,5,7,1,73,73,56
7987,7987,Australian Open,Hard,20200120,104925,32.6,106233,6-4 4-6 2-6 6-3 6-4,F,9,5,134,87,66,24,24,7,12,1,65,76,57
8271,8271,Dubai,Hard,20200224,104925,32.7,126774,6-3 6-4,F,2,0,57,36,28,12,10,1,2,1,63,78,57
8272,8272,Dubai,Hard,20200224,104925,32.7,104792,2-6 7-6(8) 6-1,SF,5,1,96,71,43,13,13,4,7,1,74,61,54
8274,8274,Dubai,Hard,20200224,104925,32.7,111575,6-2 6-2,QF,2,2,45,27,24,8,8,1,2,1,60,89,50
8278,8278,Dubai,Hard,20200224,104925,32.7,104259,6-3 6-1,R16,2,2,44,24,19,14,8,0,0,1,55,79,78
8286,8286,Dubai,Hard,20200224,104925,32.7,104291,6-1 6-2,R32,7,3,43,30,25,8,8,0,0,1,70,83,80
8329,8329,Cincinnati Masters,Hard,20200824,104925,33.2,105683,1-6 6-3 6-4,F,2,5,76,39,29,18,13,2,5,1,51,74,56
8330,8330,Cincinnati Masters,Hard,20200824,104925,33.2,105138,4-6 6-4 7-6(0),SF,14,7,103,58,40,19,16,6,12,1,56,69,50
8332,8332,Cincinnati Masters,Hard,20200824,104925,33.2,105526,6-3 6-1,QF,5,3,48,33,24,9,8,2,3,1,69,73,75
8336,8336,Cincinnati Masters,Hard,20200824,104925,33.2,105815,6-2 6-4,R16,2,4,55,31,26,15,9,4,4,1,56,84,75
8344,8344,Cincinnati Masters,Hard,20200824,104925,33.2,105575,7-6(2) 6-4,R32,8,7,64,35,25,15,11,2,5,1,55,71,68
8384,8384,Us Open,Hard,20200831,104925,33.2,106000,6-1 6-4 6-1,R128,5,5,82,49,36,18,12,6,7,1,60,73,64
8448,8448,Us Open,Hard,20200831,104925,33.2,106378,6-7(5) 6-3 6-4 6-2,R64,16,3,108,72,60,21,20,3,5,1,67,83,64
8480,8480,Us Open,Hard,20200831,104925,33.2,105526,6-3 6-3 6-1,R32,4,5,81,51,41,17,13,4,4,1,63,80,68
8538,8538,Rome Masters,Clay,20200914,104925,33.3,106043,7-5 6-3,F,2,1,70,48,33,9,11,3,6,1,69,69,43
8539,8539,Rome Masters,Clay,20200914,104925,33.3,134770,7-5 6-3,SF,12,1,79,53,37,16,11,7,8,1,67,70,64
8541,8541,Rome Masters,Clay,20200914,104925,33.3,136440,6-3 4-6 6-3,QF,5,0,75,48,31,14,14,0,4,1,64,65,52
8545,8545,Rome Masters,Clay,20200914,104925,33.3,105936,7-6(7) 6-3,R16,3,4,77,50,35,14,10,5,6,1,65,70,61
