index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
0,Clay,28.4,5,3,65,11,1,2,1,78,82,64
1,Hard,22.1,17,4,99,15,2,5,0,61,72,43
2,Clay,25.8,0,3,89,15,0,4,1,75,66,63
3,Clay,26.8,6,6,70,11,4,6,0,53,81,56
4,Hard,21.9,5,0,57,10,1,2,0,63,78,67
5,Grass,35.1,6,3,68,8,11,14,0,59,75,28
6,Hard,32,3,6,86,13,3,5,1,56,69,66
7,Hard,23,11,2,63,10,2,2,1,62,90,64
8,Hard,30.4,12,4,115,17,6,8,1,65,77,56
9,Hard,23.8,4,1,72,10,1,2,1,68,71,59
10,Clay,22.5,4,3,86,14,6,12,0,63,61,45
11,Clay,26.1,12,7,124,18,7,12,0,56,67,47
12,Hard,30.7,7,2,61,11,1,2,1,56,76,68
13,Hard,27.8,11,4,94,15,2,4,1,67,73,59
14,Hard,25,8,1,80,15,0,2,1,51,73,66
15,Hard,31.6,8,6,80,13,3,4,1,46,76,73
16,Hard,30.3,0,3,51,9,2,5,1,61,71,47
17,Hard,23.1,10,9,69,11,9,12,0,55,82,50
18,Hard,25.2,5,1,59,9,4,4,1,47,86,60
19,Hard,23.4,3,1,72,14,1,5,1,50,81,60
20,Clay,17.5,8,1,72,10,3,7,0,53,68,39
21,Hard,21.4,1,6,86,10,6,9,0,52,62,57
22,Clay,26.9,2,2,47,8,0,1,1,57,78,56
23,Hard,24.8,2,4,155,18,10,20,0,63,64,26
24,Clay,26.5,13,6,102,15,6,10,0,67,69,43
25,Clay,25.3,3,2,56,9,3,8,0,75,57,42
26,Clay,21,4,4,51,9,1,2,1,55,75,68
27,Grass,22.7,5,4,91,15,3,6,0,64,67,62
28,Hard,27.4,5,7,183,23,11,19,0,55,64,49
29,Grass,27.4,11,3,95,15,4,6,0,59,71,56
30,Grass,33.9,4,1,95,15,3,7,1,62,68,54
31,Hard,24.6,10,5,97,18,0,1,1,53,94,59
32,Hard,31.3,6,4,77,11,2,2,1,66,80,59
33,Hard,21.8,4,0,66,9,5,5,1,67,70,59
34,Hard,21.6,6,1,77,13,3,3,1,62,77,75
35,Clay,24.3,1,2,57,9,1,1,1,60,79,62
36,Hard,20.5,11,11,93,10,13,16,0,44,76,54
37,Hard,29.1,7,2,63,9,1,3,0,63,65,62
38,Hard,26.3,0,1,54,9,1,3,0,72,64,64
39,Hard,25.7,9,4,88,14,3,5,0,73,80,40
40,Clay,31.1,9,3,130,16,13,16,1,72,66,50
41,Hard,30.5,13,0,47,10,0,0,1,53,92,77
42,Hard,25.7,3,4,88,14,7,11,0,61,69,53
43,Grass,32.5,6,4,66,11,4,5,1,56,84,60
44,Hard,27,6,4,110,15,7,9,1,55,75,49
45,Hard,29.8,17,1,61,11,2,2,1,72,91,62
46,Hard,28.7,1,3,60,9,3,6,1,63,61,58
47,Grass,29.4,17,6,131,17,16,19,0,53,74,53
48,Clay,27,2,5,60,10,3,6,0,65,67,62
49,Hard,36.3,9,2,176,26,12,17,1,64,69,56
50,Hard,26.4,8,7,181,25,7,15,0,60,66,47
51,Clay,27,4,4,97,15,4,9,1,59,68,50
52,Hard,22.5,9,9,144,21,10,14,0,56,65,67
53,Clay,31.1,3,2,72,13,5,11,0,67,65,41
54,Hard,24.6,2,2,58,9,2,6,0,72,60,50
55,Hard,25.3,8,3,106,17,2,4,1,57,80,51
56,Clay,28.8,3,0,66,10,3,4,1,55,81,57
57,Hard,26.8,11,11,120,15,12,16,0,56,78,43
58,Hard,31.1,7,8,91,14,6,11,0,60,69,50
59,Clay,19.7,3,4,73,14,2,5,0,63,67,74
60,Hard,30.7,2,0,50,9,1,4,0,68,62,50
61,Hard,21.2,5,0,44,8,1,1,1,73,81,75
62,Hard,31.2,1,5,91,13,9,14,1,73,59,70
63,Hard,37.2,2,7,65,10,3,8,0,52,62,50
64,Clay,29,5,2,93,15,1,3,1,58,80,59
65,Clay,28.6,4,1,73,12,1,3,1,60,77,46
66,Grass,26.3,5,0,47,9,0,0,1,64,83,71
67,Hard,25,2,0,42,8,2,3,1,64,74,73
68,Clay,20.6,3,4,124,16,9,15,0,72,58,55
69,Hard,22.9,4,1,63,9,4,5,1,49,74,55
70,Hard,32.4,2,2,63,11,0,1,1,59,76,62
71,Hard,21.8,11,4,49,9,3,3,1,39,89,85
72,Clay,23.4,2,0,59,10,0,2,1,59,66,71
73,Hard,22.6,20,1,136,23,4,6,1,64,77,58
74,Hard,23.9,3,3,118,17,7,14,0,53,54,52
75,Clay,25.3,13,2,59,10,7,8,1,61,86,57
76,Grass,27.4,11,6,77,11,8,12,0,58,64,54
77,Hard,21.5,0,3,54,9,1,6,0,46,56,42
78,Hard,25.2,5,3,115,14,15,17,0,60,68,58
79,Clay,32.4,1,3,57,9,3,5,1,70,70,50
80,Hard,25.6,8,3,57,10,1,4,1,58,79,43
81,Hard,24,14,3,92,16,2,5,0,66,84,46
82,Clay,28.1,5,6,133,22,8,14,1,56,72,58
83,Grass,29.2,4,1,88,14,8,12,0,75,62,48
84,Clay,21.9,19,11,148,23,10,16,0,56,71,56
85,Hard,28.3,3,3,102,16,10,18,0,56,58,45
86,Hard,24.4,15,1,87,16,3,4,1,75,82,52
87,Hard,23.4,7,2,64,10,5,9,0,58,68,40
88,Hard,24.4,1,0,77,13,5,9,0,66,65,50
89,Clay,25.6,0,3,75,14,3,8,1,51,55,71
90,Hard,24.1,5,2,42,8,1,1,1,60,84,80
91,Hard,27.8,5,1,51,8,1,1,1,51,85,54
92,Hard,24.9,6,3,97,16,1,4,0,59,75,54
93,Hard,26.2,3,6,102,16,7,13,0,64,62,55
94,Grass,31.8,7,9,75,11,6,7,1,57,79,78
95,Hard,25,3,4,73,10,5,9,0,56,68,39
96,Clay,30.4,6,3,90,14,1,1,1,51,76,68
97,Hard,26,18,1,59,9,1,1,1,61,86,55
98,Hard,25.2,5,4,126,21,6,15,0,66,60,46
99,Hard,22.8,1,6,57,9,1,2,1,54,77,75
100,Clay,27.8,2,1,67,9,2,6,0,69,67,25
101,Grass,30.4,4,6,98,15,7,13,0,66,66,41
102,Clay,24,1,2,76,11,2,4,0,55,67,59
103,Grass,25,5,10,115,15,9,14,0,56,64,56
104,Grass,21.7,14,1,90,15,6,6,1,60,91,63
105,Clay,20,2,0,61,10,4,7,0,59,64,56
106,Hard,27.7,2,1,51,8,1,1,1,55,79,64
107,Grass,22.9,21,5,121,19,1,5,1,73,73,64
108,Clay,23.9,9,2,83,14,8,10,1,67,77,48
109,Hard,30.7,3,2,80,11,7,9,0,59,74,45
110,Clay,21.1,5,4,120,14,13,18,0,63,59,60
111,Hard,26.4,5,2,133,20,10,16,1,59,71,46
112,Hard,20.1,6,3,68,11,2,6,0,66,58,50
113,Hard,23.6,13,5,131,19,3,6,1,56,70,60
114,Grass,29.7,5,6,91,15,4,8,0,69,70,59
115,Hard,25,6,2,76,12,5,7,1,67,71,57
116,Hard,20.9,4,0,78,14,2,3,1,71,78,57
117,Hard,24.2,1,1,67,11,2,2,1,64,79,70
118,Hard,25.4,1,0,65,9,11,16,0,71,52,47
119,Hard,26.1,15,6,81,11,3,3,1,59,83,63
120,Clay,21,2,3,66,9,6,8,1,61,65,57
121,Carpet,21.9,9,2,60,9,2,4,0,68,78,29
122,Hard,24,3,3,49,9,0,5,0,59,59,35
123,Hard,27.4,2,6,80,12,2,9,0,52,52,38
124,Clay,29.6,2,2,64,9,5,9,0,64,51,57
125,Grass,27.6,7,4,121,18,3,7,0,59,70,57
126,Clay,23.5,3,0,46,8,3,8,0,80,46,33
127,Clay,29.7,2,3,51,8,3,8,0,47,58,42
128,Carpet,25.1,6,6,101,16,5,8,1,46,74,67
129,Hard,28.7,3,4,56,8,7,11,0,77,58,44
130,Hard,23,5,1,72,10,5,11,0,62,56,46
131,Hard,25.7,4,1,49,9,3,7,0,61,63,50
132,Hard,28,0,0,63,12,0,4,1,46,66,53
133,Grass,22.6,6,4,134,19,12,17,0,57,60,62
134,Grass,29.7,34,9,121,21,3,4,1,60,88,70
135,Hard,22.9,1,4,70,9,8,13,0,43,63,36
136,Hard,33.2,4,4,75,14,0,0,1,55,90,83
137,Clay,21.7,1,1,58,8,3,7,0,60,57,36
138,Clay,22.6,3,3,90,15,7,11,0,44,75,55
139,Hard,24.2,10,3,110,16,8,12,0,64,74,43
140,Hard,25.5,10,6,84,11,10,12,0,61,67,63
141,Hard,27.5,12,1,82,14,3,6,1,65,75,43
142,Grass,22.6,3,6,103,15,3,8,0,55,72,48
143,Hard,35.6,8,1,72,12,1,3,1,49,89,67
144,Clay,25.9,3,4,77,12,6,14,0,56,49,40
145,Clay,21.9,1,3,38,8,0,1,1,61,78,83
146,Hard,25,5,2,75,11,4,7,1,57,74,43
147,Hard,21.6,6,3,75,12,1,4,1,51,74,56
148,Hard,23.9,11,1,107,16,5,7,0,52,68,68
149,Hard,28.5,13,0,57,11,4,5,1,56,94,56
150,Hard,21,6,6,100,13,8,12,1,52,65,55
151,Hard,26.8,0,5,52,9,3,5,1,54,86,47
152,Hard,30.1,7,1,68,13,3,4,1,62,88,60
153,Clay,23.9,8,0,72,13,5,7,1,64,65,69
154,Carpet,21.5,3,7,75,10,10,14,0,59,61,58
155,Clay,24.7,5,2,66,10,6,10,0,55,61,46
156,Clay,26.4,8,7,133,17,6,9,0,51,79,48
157,Hard,23.3,6,1,64,10,2,3,1,52,79,53
158,Hard,23.5,5,6,53,8,2,2,1,42,86,68
159,Hard,29.2,4,6,98,15,6,13,0,57,62,47
160,Hard,25.7,5,6,80,10,8,13,0,49,56,54
161,Hard,33.7,10,1,56,10,3,4,1,71,85,60
162,Carpet,32.6,0,5,70,10,4,7,0,37,77,51
163,Hard,26.7,3,1,112,16,9,13,0,56,65,54
164,Grass,24.6,9,1,118,20,1,2,1,64,75,73
165,Hard,28.9,2,5,69,11,1,3,0,64,77,50
166,Clay,26.2,11,0,60,10,0,0,1,57,85,62
167,Hard,32.5,4,7,111,13,11,15,0,62,64,57
168,Hard,22.8,8,8,96,14,10,12,0,35,85,59
169,Hard,31.2,1,3,49,9,0,2,0,67,70,62
170,Clay,28.7,4,0,62,10,2,3,1,60,81,60
171,Hard,23.2,7,2,51,8,2,2,1,63,81,53
172,Clay,32.3,0,3,71,9,7,11,0,56,60,46
173,Clay,21.3,3,4,69,12,5,12,0,46,59,33
174,Grass,27.1,6,2,64,12,0,0,1,66,83,70
175,Clay,22.1,5,1,60,13,0,1,1,55,88,73
176,Hard,24.1,4,4,89,11,5,5,1,65,72,59
177,Carpet,25.4,12,1,43,9,0,0,1,63,89,80
178,Clay,31.6,0,3,53,9,1,2,1,72,74,58
179,Clay,26.8,3,1,55,10,0,2,1,55,77,54
180,Grass,26.5,3,3,52,10,0,1,1,56,83,75
181,Hard,25.1,1,2,84,12,4,7,1,61,75,52
182,Grass,27.5,32,6,133,23,3,6,0,70,80,62
183,Clay,26.8,3,4,85,13,3,7,1,67,72,38
184,Grass,27.8,4,2,75,11,0,0,1,73,73,78
185,Hard,33.4,1,3,61,10,7,10,0,64,67,58
186,Hard,21.9,0,2,57,9,6,8,0,67,63,65
187,Clay,23.8,12,2,161,27,8,19,1,53,63,45
188,Clay,29.1,1,1,63,11,0,2,1,67,79,60
189,Hard,27.4,4,0,63,8,6,11,0,51,59,32
190,Clay,24.8,2,1,46,9,0,1,1,85,72,83
191,Hard,19.8,8,5,162,21,10,11,1,65,74,57
192,Clay,27.3,3,7,73,11,3,4,1,56,76,76
193,Clay,26,3,4,97,16,9,15,1,64,71,42
194,Clay,30.6,12,9,97,15,5,9,0,51,76,56
195,Hard,18,8,5,107,14,4,7,1,57,75,51
196,Hard,27.6,8,5,86,12,4,4,1,64,73,69
197,Hard,26.8,8,6,51,9,3,3,1,55,93,71
198,Clay,20.3,0,7,53,7,3,8,0,40,43,52
199,Hard,21.4,22,2,88,14,3,5,1,61,76,59
200,Hard,28.2,16,3,94,15,4,5,0,67,84,43
201,Clay,21.3,9,12,118,16,6,10,0,49,76,56
202,Hard,22.9,4,7,52,9,3,8,0,44,52,59
203,Hard,22.7,3,2,65,10,2,4,1,55,69,63
204,Hard,27,0,5,48,7,5,9,0,38,50,56
205,Hard,25.5,5,0,56,9,3,4,1,71,70,69
206,Hard,31,18,6,103,17,0,2,1,57,76,66
207,Hard,29.4,6,2,67,11,1,1,1,67,87,55
208,Hard,22.1,11,2,96,15,7,9,0,69,80,46
209,Clay,24.5,4,1,88,14,5,10,0,53,62,50
210,Clay,24.4,2,1,89,15,4,11,0,53,62,39
211,Clay,22.8,0,0,67,11,6,12,0,64,51,33
212,Clay,29,2,1,38,6,4,8,0,55,62,19
213,Hard,24.9,11,8,162,26,10,18,0,57,62,63
214,Hard,29.7,15,2,79,14,1,1,1,68,89,52
215,Hard,22.8,5,7,75,10,6,9,0,67,70,61
216,Clay,29.2,6,4,135,21,7,12,1,48,75,52
217,Clay,31.9,10,8,142,19,12,19,0,44,65,54
218,Hard,32.3,7,5,118,18,5,7,1,64,71,71
219,Hard,28,1,4,39,6,4,9,0,56,45,31
220,Hard,31.7,3,2,92,15,3,7,0,71,62,68
221,Hard,28.8,4,1,62,11,2,4,0,71,73,53
222,Hard,24.6,10,3,92,15,4,6,1,65,78,59
223,Hard,27.5,9,6,134,20,8,13,0,60,68,62
224,Hard,26.8,5,6,65,10,5,8,0,58,71,48
225,Hard,28.8,5,2,95,15,12,16,0,62,69,41
226,Hard,23.4,4,3,69,10,6,6,1,74,71,80
227,Clay,25.8,1,3,70,10,5,7,1,69,67,68
228,Hard,26.3,3,3,68,10,6,8,0,60,78,38
229,Clay,23.7,6,0,49,10,0,0,1,63,84,78
230,Hard,24.3,2,0,57,9,3,5,0,47,78,47
231,Grass,27.3,8,13,85,15,2,6,0,33,86,64
232,Hard,25.7,9,10,105,15,5,8,1,50,75,60
233,Hard,19.5,4,2,70,12,2,5,1,64,73,39
234,Clay,29.8,0,4,114,16,13,19,0,69,54,58
235,Hard,29,8,5,130,20,6,8,1,68,82,50
236,Hard,27.3,4,2,73,13,1,4,1,56,73,53
237,Hard,22.4,17,5,70,13,1,2,1,56,85,69
238,Grass,25.7,13,2,70,10,3,3,1,64,73,70
239,Clay,21.5,12,5,81,11,12,13,1,49,80,61
240,Clay,28.1,10,4,66,11,3,3,1,39,88,75
241,Hard,25.6,3,5,30,2,9,11,0,47,71,27
242,Clay,25.6,13,2,99,16,5,9,0,57,82,41
243,Clay,26.3,0,1,47,8,3,7,0,49,65,39
244,Grass,27.4,10,4,59,9,2,4,0,49,76,50
245,Clay,25.1,10,5,123,17,6,12,0,50,62,53
246,Hard,22.4,10,1,81,11,12,13,1,72,74,55
247,Hard,33.2,2,5,76,13,2,5,1,51,74,56
248,Hard,25.9,6,4,100,16,2,3,1,49,82,66
249,Hard,24.6,7,5,108,15,1,3,0,55,76,52
250,Hard,29.7,10,2,77,14,1,2,1,55,71,76
251,Hard,23.5,4,5,51,9,2,6,0,43,68,58
252,Hard,23,11,4,85,11,10,11,1,52,77,62
253,Hard,25.1,2,1,100,15,8,10,0,58,72,54
254,Hard,27,3,2,64,9,4,7,0,56,69,42
255,Hard,35.2,8,6,85,14,0,1,0,55,87,59
256,Grass,27.9,17,2,98,15,5,8,0,55,74,55
257,Grass,22.9,12,2,48,9,1,1,1,56,78,84
258,Clay,26.1,1,3,70,12,5,11,0,71,50,65
259,Clay,25.5,2,6,89,15,5,12,0,56,72,36
260,Clay,21.8,3,2,59,11,0,0,1,59,83,77
261,Hard,38,6,1,144,23,10,15,0,61,74,51
262,Carpet,21.1,13,3,65,11,1,2,1,65,76,80
263,Clay,25.7,3,1,71,14,1,3,1,54,87,66
264,Grass,20.7,3,0,41,8,2,3,1,73,77,55
265,Clay,24.8,5,3,98,16,5,9,1,53,71,60
266,Clay,23.6,1,0,60,9,3,7,0,63,58,36
267,Clay,24,4,5,108,17,7,9,0,63,79,51
268,Clay,24.3,2,1,61,10,3,4,1,70,67,71
269,Clay,21.5,10,1,65,11,3,4,1,62,72,62
270,Hard,25.1,1,2,57,10,4,8,0,61,60,55
271,Clay,23.7,1,3,82,13,3,7,0,57,66,53
272,Hard,29.3,5,3,123,16,10,14,0,57,69,50
273,Hard,33.3,2,6,45,8,1,4,0,58,73,62
274,Clay,22.2,2,4,102,17,1,6,1,64,74,48
275,Hard,34.8,1,8,81,13,2,6,0,56,71,54
276,Clay,23.9,1,0,16,3,0,1,1,81,54,100
277,Hard,27.6,4,4,86,13,6,12,0,58,64,34
278,Hard,22.8,5,3,97,14,6,10,0,67,63,55
279,Grass,26.7,20,1,93,16,5,5,1,70,75,70
280,Clay,24.5,11,1,52,10,0,1,1,71,86,50
281,Grass,22.8,5,4,78,13,1,3,1,49,74,75
282,Hard,26.1,18,4,103,17,4,7,0,57,76,55
283,Clay,28.4,4,1,68,9,7,8,1,46,77,53
284,Hard,27,9,5,72,12,2,5,0,62,73,50
285,Carpet,21.9,26,10,136,18,11,12,1,62,82,51
286,Hard,35.6,19,1,52,9,4,6,0,65,76,35
287,Hard,25.2,1,1,18,3,0,0,1,39,100,80
288,Grass,25.1,9,9,138,25,5,13,1,57,78,47
289,Hard,33.7,7,1,74,12,3,3,1,73,76,63
290,Hard,28.2,7,4,102,16,2,5,1,58,64,64
291,Hard,32,5,2,83,11,5,8,1,49,61,60
292,Clay,25.5,6,5,67,10,6,7,1,57,74,62
293,Hard,21.7,15,6,122,17,6,9,0,62,70,55
294,Carpet,20.4,10,2,102,16,2,4,1,53,83,52
295,Hard,26.6,12,3,59,11,0,0,1,56,91,74
296,Grass,24.1,3,3,67,9,6,7,1,57,71,54
297,Hard,24.4,4,2,78,11,9,19,0,77,40,38
298,Clay,29.9,5,3,67,10,2,4,0,60,75,58
299,Hard,31.1,1,6,124,17,7,13,0,53,68,50
300,Clay,21,2,3,97,13,8,12,0,67,60,55
301,Clay,28.2,9,1,78,14,2,3,1,69,83,43
302,Hard,27,6,5,78,14,1,2,1,53,73,78
303,Hard,22,8,3,59,11,0,0,1,49,86,78
304,Hard,24.9,1,4,50,7,3,8,0,52,54,35
305,Hard,29.4,0,0,20,4,0,2,0,60,50,62
306,Hard,32.2,7,1,63,10,5,7,1,56,69,56
307,Grass,24.1,19,7,106,16,6,7,1,54,82,62
308,Clay,32,12,10,123,16,8,8,1,52,77,76
309,Clay,32.6,24,7,182,25,16,20,0,60,82,43
310,Clay,22.4,1,1,56,9,4,7,1,84,60,75
311,Clay,19.3,10,1,43,8,1,1,1,63,89,67
312,Grass,19.4,8,1,73,12,2,3,1,64,83,76
313,Hard,24.6,6,2,83,15,0,2,0,67,73,64
314,Clay,27.1,11,4,116,18,6,8,1,66,70,69
315,Clay,24.5,3,4,131,22,3,9,1,84,65,65
316,Hard,22.4,1,2,140,21,6,9,0,67,72,57
317,Clay,24.2,0,1,44,8,3,3,1,59,77,88
318,Clay,20.7,2,0,52,9,2,6,0,60,58,52
319,Grass,31.9,8,1,66,11,0,0,1,55,92,48
320,Hard,33.6,5,3,69,10,5,8,0,42,76,43
321,Hard,30.4,21,0,67,11,0,0,1,70,74,75
322,Clay,33,4,5,82,13,2,3,1,45,70,72
323,Hard,27.4,5,0,89,14,6,9,0,70,65,63
324,Hard,31.1,6,3,102,17,4,4,0,46,85,73
325,Clay,27.4,1,3,142,18,8,12,1,75,63,50
326,Clay,31.7,3,1,147,23,13,16,1,90,68,62
327,Clay,20,2,2,130,24,1,5,1,62,68,66
328,Hard,23.9,1,4,61,10,6,8,0,43,62,74
329,Clay,24.7,1,3,95,13,11,17,0,59,55,50
330,Clay,28,2,1,80,13,5,6,1,64,75,57
331,Hard,27.5,5,3,101,15,7,11,0,62,76,34
332,Hard,18.2,14,4,102,14,10,13,1,60,61,65
333,Carpet,23.7,11,3,57,9,1,4,0,56,75,36
334,Hard,23.5,3,1,48,8,2,5,0,58,71,37
335,Grass,18.8,4,3,59,11,1,1,1,59,86,76
336,Hard,26.8,10,2,60,11,2,3,1,60,86,64
337,Clay,31.7,4,1,78,14,1,5,0,62,67,52
338,Clay,24.3,2,2,84,14,5,11,1,64,63,46
339,Clay,23.4,1,3,148,21,13,19,1,66,62,53
340,Clay,23.4,11,4,80,12,8,12,0,51,78,46
341,Hard,24.9,7,2,197,27,18,25,0,68,70,47
342,Hard,28.6,13,6,107,17,5,7,1,59,84,53
343,Hard,23.8,8,0,44,9,0,0,1,66,83,80
344,Hard,28.3,5,1,61,10,2,2,1,48,72,71
345,Hard,29.5,4,4,56,8,2,5,0,62,69,41
346,Clay,32.7,24,4,149,26,4,5,1,63,85,63
347,Clay,29.8,1,1,115,17,4,7,0,77,70,48
348,Grass,27.6,5,2,52,10,0,1,1,73,79,67
349,Clay,27.4,1,2,52,9,3,6,0,60,74,53
350,Hard,23.9,16,7,134,26,0,2,1,55,86,68
351,Hard,21.2,4,3,64,11,1,4,1,50,69,59
352,Hard,28.8,2,4,64,10,4,7,0,61,69,43
353,Clay,24.8,1,2,59,9,0,4,0,63,54,60
354,Clay,22.3,4,4,61,10,0,1,1,54,88,62
355,Clay,27.2,18,14,107,15,8,11,0,48,78,60
356,Clay,30.8,5,2,54,9,1,2,1,65,66,82
357,Hard,29.8,12,1,48,9,1,2,1,56,81,65
358,Hard,25.2,7,2,92,14,4,6,1,58,74,65
359,Hard,20,6,1,53,9,1,1,1,70,84,60
360,Hard,23.4,14,4,61,10,3,7,0,57,74,32
361,Grass,28.5,4,1,44,8,1,5,0,59,62,41
362,Hard,30.6,3,5,63,9,6,9,0,59,65,52
363,Hard,22,7,8,84,13,6,9,0,58,76,56
364,Clay,23.1,4,2,71,10,5,6,1,65,76,43
365,Hard,18.9,6,4,102,15,5,10,0,57,67,45
366,Hard,30.7,3,2,53,10,3,4,1,53,93,57
367,Hard,23.3,0,2,57,9,1,2,1,74,69,69
368,Hard,31.7,1,4,88,12,13,18,0,53,64,49
369,Hard,22.1,17,4,114,17,1,2,1,63,89,61
370,Grass,21.3,20,6,153,23,5,10,1,59,72,54
371,Hard,31.2,5,4,55,9,2,6,0,47,69,44
372,Hard,27.3,0,2,58,9,7,10,0,47,70,55
373,Hard,26.7,15,1,90,15,1,3,1,49,77,58
374,Hard,32.5,5,0,84,11,5,6,1,61,71,58
375,Grass,24.7,6,2,68,9,5,9,0,74,52,56
376,Hard,33.6,1,5,74,14,4,5,1,73,74,73
377,Grass,30.1,10,3,90,14,2,2,1,60,81,55
378,Hard,28.6,2,4,63,8,8,12,0,59,54,50
379,Clay,24.2,1,6,121,20,4,10,0,55,69,52
380,Clay,26.2,5,2,102,14,5,8,1,52,72,53
381,Clay,20.8,6,0,52,11,3,3,1,63,82,95
382,Grass,28.2,2,2,84,15,3,6,1,70,73,43
383,Carpet,24.3,2,0,41,8,1,6,0,54,55,26
384,Clay,23.4,6,3,81,11,6,9,0,73,68,37
385,Hard,24.3,0,1,41,8,0,0,1,59,83,75
386,Grass,21.1,15,17,113,15,12,14,1,42,81,60
387,Hard,34.7,3,1,56,9,3,5,0,61,62,67
388,Hard,27.1,10,7,85,10,9,9,1,55,81,61
389,Hard,26.9,9,2,68,12,5,7,1,63,72,65
390,Hard,21.4,2,4,44,8,0,3,0,64,57,58
391,Hard,19.7,25,7,187,29,9,12,1,62,75,58
392,Hard,26.1,2,0,84,11,5,7,0,65,65,48
393,Grass,29.4,8,5,83,11,3,5,0,76,70,40
394,Hard,32.7,1,3,51,9,3,5,1,57,76,53
395,Clay,28.8,1,3,77,10,7,9,1,57,68,57
396,Clay,24.5,5,1,59,9,5,9,0,68,68,22
397,Hard,30.1,0,2,50,8,2,6,0,48,67,42
398,Grass,29.9,5,1,96,13,8,11,0,79,62,58
399,Hard,22.5,0,5,36,6,1,6,0,56,45,27
400,Hard,26.9,3,1,53,9,2,2,1,66,74,76
401,Clay,24,4,3,101,14,10,14,0,65,62,56
402,Clay,30.2,8,0,46,9,1,1,1,74,85,67
403,Clay,31.2,4,2,65,10,6,11,0,54,57,46
404,Hard,27.4,10,2,49,9,1,1,1,61,90,59
405,Hard,21.8,6,2,68,9,5,7,0,56,71,50
406,Clay,22.2,0,2,59,9,3,8,0,61,50,52
407,Grass,28.9,0,3,52,8,3,5,1,62,69,59
408,Hard,23.1,23,5,104,17,7,11,1,53,78,50
409,Hard,27.3,10,11,166,24,13,16,1,57,70,64
410,Hard,26,2,6,88,13,7,13,0,51,60,49
411,Hard,26.3,16,2,54,11,0,0,1,72,90,69
412,Clay,21.3,12,6,92,15,0,2,0,54,82,61
413,Clay,29.3,1,1,71,10,4,5,1,69,69,57
414,Clay,26.4,2,3,58,10,1,3,1,60,71,60
415,Hard,25.5,10,3,90,15,5,7,1,58,81,66
416,Hard,35,9,11,92,10,9,10,1,58,70,71
417,Hard,32.1,11,5,101,16,5,8,0,62,75,52
418,Clay,30.5,6,3,60,10,1,3,1,60,81,57
419,Clay,25.4,1,8,106,16,5,10,0,66,61,64
420,Hard,26,7,2,46,7,2,2,1,52,88,55
421,Hard,23.7,5,1,43,8,0,0,1,49,86,71
422,Hard,29.7,2,0,29,6,0,1,1,48,79,80
423,Hard,22.4,14,2,46,7,4,5,1,67,84,46
424,Clay,24.1,0,3,109,17,1,6,0,75,67,62
425,Clay,27.3,1,0,63,9,4,4,1,73,70,71
426,Hard,21.2,13,4,81,11,4,5,1,51,80,61
427,Carpet,28.9,3,4,45,8,3,7,0,44,75,38
428,Clay,23.7,5,1,73,13,4,5,1,70,76,62
429,Clay,24.8,0,2,86,11,7,9,0,55,62,65
430,Hard,26.3,3,1,67,10,2,5,1,60,75,42
431,Grass,32.2,10,3,116,16,9,11,1,76,70,52
432,Clay,19.3,3,2,53,9,2,4,1,51,81,50
433,Grass,22.9,2,1,47,9,3,7,0,64,53,62
434,Clay,25.7,10,4,88,15,4,8,1,48,74,55
435,Carpet,28.4,6,3,76,11,3,4,1,54,83,56
436,Hard,29.4,8,2,77,13,5,9,1,61,70,46
437,Hard,17.8,5,9,150,22,7,10,0,54,70,63
438,Hard,28.5,5,4,110,20,6,11,0,52,70,59
439,Hard,29.8,3,2,51,8,2,3,1,73,68,67
440,Clay,23.7,0,4,93,14,7,13,1,61,51,66
441,Clay,26.4,11,5,137,20,10,13,1,63,76,48
442,Clay,27,16,3,116,17,9,12,1,56,78,56
443,Hard,22.8,2,2,51,10,1,3,1,53,70,68
444,Clay,26.2,8,5,103,14,9,14,0,46,72,47
445,Hard,30.5,3,6,93,16,2,7,0,53,73,50
446,Hard,23.2,0,3,68,11,2,5,0,53,61,66
447,Hard,23.7,4,4,116,19,6,11,0,61,68,54
448,Hard,22.2,4,1,56,9,1,2,1,61,82,43
449,Clay,21.7,4,1,57,9,5,5,1,70,82,56
450,Clay,20.2,0,2,63,9,8,12,0,67,52,63
451,Hard,23.1,3,2,38,7,1,2,1,55,86,40
452,Hard,21.8,9,12,147,23,7,12,0,50,74,61
453,Hard,24.1,10,4,113,15,9,13,0,69,62,55
454,Grass,28.7,3,2,50,8,0,0,1,66,73,73
455,Grass,22.5,1,0,62,10,7,7,1,63,82,57
456,Hard,24.5,0,4,51,8,3,8,0,63,53,33
457,Clay,19.4,4,1,78,13,6,10,0,68,72,42
458,Hard,24.6,6,0,47,9,1,3,1,62,69,56
459,Hard,30.1,1,4,67,9,7,14,0,76,47,33
460,Hard,30.8,15,1,43,9,0,0,1,74,88,80
461,Clay,24.3,7,4,79,12,6,13,0,52,56,32
462,Hard,28.6,20,11,193,26,10,11,0,58,71,69
463,Clay,29.7,2,0,66,9,7,7,1,65,74,57
464,Clay,30.5,0,3,65,10,6,8,1,62,88,41
465,Hard,25.4,3,3,56,9,5,9,0,62,63,39
466,Hard,31.5,10,3,79,13,5,10,0,52,68,46
