index,surface,age,ace,df,svpt,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
60644,Clay,27.8,6,0,48,9,1,1,1,58,75,80
60645,Clay,27.3,3,4,59,9,3,7,0,58,62,43
60646,Clay,23.6,6,1,70,12,5,9,0,56,79,43
60647,Hard,30.6,6,5,86,14,5,10,0,56,69,55
60648,Hard,24.9,12,7,103,15,8,10,0,65,72,66
60649,Grass,30.8,25,1,126,22,2,3,1,65,80,70
60650,Grass,23.6,7,2,69,11,8,10,1,67,72,62
60651,Clay,24.8,4,1,91,14,5,10,0,66,60,47
60652,Hard,36.2,7,5,101,16,4,7,1,52,74,63
60653,Hard,26.7,17,2,75,11,0,0,1,72,94,58
60654,Hard,21.3,6,4,64,10,4,7,0,62,70,50
60655,Clay,29.3,1,3,72,11,4,4,1,62,87,46
60656,Clay,30.6,3,1,76,13,4,5,1,71,78,62
60657,Carpet,20.4,14,0,67,10,3,3,1,45,90,57
60658,Clay,23.5,1,2,61,10,0,2,0,77,72,25
60659,Hard,30.2,8,3,40,9,0,1,1,52,90,81
60660,Hard,28.7,19,2,96,18,4,6,1,55,87,54
60661,Clay,34,0,3,56,9,0,2,0,59,67,70
60662,Hard,28.3,10,6,89,15,3,6,1,56,78,58
60663,Clay,24.9,5,1,46,8,0,1,1,54,60,85
60664,Clay,30,2,7,110,14,12,19,0,64,51,58
60665,Hard,27.5,3,3,62,9,2,2,1,71,73,67
60666,Hard,30.6,3,1,63,10,3,4,0,67,79,45
60667,Hard,32.8,2,3,64,10,2,3,0,66,74,63
60668,Clay,22,2,6,88,12,9,14,0,52,65,47
60669,Hard,32.2,1,2,79,14,6,11,0,77,61,56
60670,Clay,25.9,2,1,68,9,4,5,1,56,76,41
60671,Hard,27.7,20,6,110,17,3,6,0,53,84,52
60672,Carpet,28.1,1,1,46,8,3,8,0,78,42,56
60673,Hard,25.1,26,4,152,24,7,12,0,58,72,58
60674,Hard,25.2,13,3,96,17,4,5,0,58,79,68
60675,Hard,22.5,1,2,69,9,6,11,0,62,60,38
60676,Grass,29.5,10,2,95,14,6,9,0,62,66,62
60677,Clay,29.1,1,1,49,8,0,0,1,84,76,43
60678,Hard,22.4,11,1,43,8,2,2,1,60,92,62
60679,Grass,27.4,4,22,98,16,9,17,0,52,76,36
60680,Hard,26.4,3,4,88,12,5,9,0,59,67,53
60681,Clay,26.3,0,2,47,7,4,9,0,79,51,12
60682,Hard,26.4,2,1,50,7,8,13,0,54,56,36
60683,Clay,30.7,6,0,74,14,2,2,1,65,81,69
60684,Hard,21.4,9,2,83,15,0,3,0,60,78,58
60685,Clay,25.2,2,1,48,7,1,1,1,60,79,56
60686,Carpet,18.3,6,3,45,9,1,5,0,58,69,38
60687,Clay,21.5,0,1,86,13,2,6,0,70,57,56
60688,Clay,24.5,3,2,115,15,8,14,0,51,68,41
60689,Hard,27,7,5,133,21,7,15,0,67,61,49
60690,Clay,23.6,1,4,79,13,6,7,1,63,72,68
60691,Hard,29.5,4,4,51,9,2,2,1,53,93,65
60692,Clay,28,8,1,53,8,2,2,1,58,81,62
60693,Hard,28.8,3,3,64,10,1,5,0,55,69,54
60694,Clay,30.9,3,1,62,10,3,3,1,53,85,61
60695,Clay,23.7,1,1,58,10,2,3,1,60,74,64
60696,Hard,29,10,6,69,14,1,2,1,59,93,73
60697,Hard,33.9,12,10,159,24,17,22,0,53,74,54
60698,Clay,22.9,1,1,76,11,3,5,1,78,63,62
