level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
2949,2949,Australian Open,Hard,20180115,103819,36.4,105916,6-4 7-6(3) 6-2,R16,6,2,81,48,40,25,15,0,0,1,59,83,81
2953,2953,Australian Open,Hard,20180115,103819,36.4,104607,7-6(1) 6-3 6-4,QF,15,5,96,60,50,19,16,3,5,1,62,83,61
2955,2955,Australian Open,Hard,20180115,103819,36.4,111202,6-1 5-2 RET,SF,9,1,37,16,15,15,7,1,1,1,43,94,75
2956,2956,Australian Open,Hard,20180115,103819,36.4,105227,6-2 6-7(5) 6-3 3-6 6-1,F,24,4,139,84,67,32,23,7,9,1,60,80,63
3210,3210,Rotterdam,Hard,20180212,103819,36.5,105074,6-1 6-2,R32,6,0,36,23,21,11,8,0,0,1,64,91,85
3218,3218,Rotterdam,Hard,20180212,103819,36.5,104259,7-6(8) 7-5,R16,11,0,68,46,41,14,12,0,0,1,68,89,64
3221,3221,Rotterdam,Hard,20180212,103819,36.5,104898,4-6 6-1 6-1,QF,6,1,61,35,26,19,12,0,1,1,57,74,76
3223,3223,Rotterdam,Hard,20180212,103819,36.5,104312,6-3 7-6(3),SF,9,2,67,42,32,14,10,2,3,1,63,76,61
3224,3224,Rotterdam,Hard,20180212,103819,36.5,105777,6-2 6-2,F,3,0,39,24,20,12,8,0,0,1,62,83,80
3466,3466,Indian Wells Masters,Hard,20180305,103819,36.5,105643,6-3 7-6(6),R64,5,1,82,53,39,16,11,3,3,1,65,74,57
3482,3482,Indian Wells Masters,Hard,20180305,103819,36.5,105936,6-2 6-1,R32,6,1,42,27,24,8,8,2,3,1,64,89,57
3489,3489,Indian Wells Masters,Hard,20180305,103819,36.5,104871,7-5 6-4,R16,2,0,49,25,25,19,11,0,0,1,51,100,79
3493,3493,Indian Wells Masters,Hard,20180305,103819,36.5,111202,7-5 6-1,QF,12,1,69,46,32,13,10,5,6,1,67,70,59
3495,3495,Indian Wells Masters,Hard,20180305,103819,36.5,106432,5-7 6-4 6-4,SF,5,1,88,53,36,21,16,2,6,1,60,68,62
4267,4267,Stuttgart,Grass,20180611,103819,36.8,104999,3-6 6-4 6-2,R16,5,1,71,48,36,13,13,3,5,1,68,75,59
4271,4271,Stuttgart,Grass,20180611,103819,36.8,105550,6-4 6-4,QF,4,0,56,35,29,15,10,2,2,1,62,83,71
4273,4273,Stuttgart,Grass,20180611,103819,36.8,106401,6-7(2) 6-2 7-6(5),SF,12,2,86,54,46,24,16,0,0,1,63,85,80
4274,4274,Stuttgart,Grass,20180611,103819,36.8,105683,6-4 7-6(3),F,4,0,66,44,38,13,11,2,2,1,67,86,59
4290,4290,Halle,Grass,20180618,103819,36.8,105379,6-3 6-4,R32,7,0,49,34,30,11,10,0,0,1,69,88,73
