level_0,index,tourney_name,surface,tourney_date,player_id,age,opponent_id,score,round,ace,df,svpt,1stIn,1stWon,2ndWon,svGms,bpSaved,bpFaced,result,1stIn(%),1stWon(%),2ndWon(%)
29043,29043,Bangkok,Hard,20050926,104918,18.3,104068,4-6 6-4 6-3,QF,10,1,72,35,27,23,14,1,3,1,49,77,64
29045,29045,Bangkok,Hard,20050926,104918,18.3,103387,6-7(3) 7-5 6-2,SF,8,5,113,53,42,31,16,5,6,1,47,79,56
29150,29150,Queen's Club,Grass,20050606,104918,18,103490,6-1 6-2,R64,5,1,43,26,22,11,8,0,0,1,60,85,69
29170,29170,Queen's Club,Grass,20050606,104918,18,103758,6-3 6-3,R32,7,4,52,27,24,14,9,2,2,1,52,89,67
29232,29232,Newport,Grass,20050704,104918,18.1,102571,6-4 7-5,R32,4,2,69,37,31,17,11,3,3,1,54,84,57
29451,29451,Basel,Carpet,20051024,104918,18.4,102450,6-2 5-7 7-6(4),R32,6,2,94,53,44,17,16,1,4,1,56,83,44
29463,29463,Basel,Carpet,20051024,104918,18.4,104607,6-4 2-6 6-4,R16,11,4,114,60,44,25,14,9,11,1,53,73,50
30320,30320,Indianapolis,Hard,20050718,104918,18.1,104070,6-4 6-2,R64,4,5,53,32,27,10,9,4,5,1,60,84,62
30434,30434,Cincinnati Masters,Hard,20050815,104918,18.2,103758,7-6(4) 7-6(1),R64,4,4,77,43,34,19,12,0,2,1,56,79,63
31233,31233,Wimbledon,Grass,20050620,104918,18,102567,6-4 6-2 6-2,R128,7,0,69,38,31,22,13,0,0,1,55,82,71
31276,31276,Wimbledon,Grass,20050620,104918,18,103285,6-4 6-4 6-4,R64,8,2,86,41,37,25,15,3,4,1,48,90,58
31324,31324,US Open,Hard,20050829,104918,18.2,102318,6-3 3-6 3-6 6-1 6-4,R128,13,4,142,67,48,35,22,2,8,1,47,72,49
32060,32060,Australian Open,Hard,20110117,104918,23.6,103971,6-3 6-1 4-2 RET,R128,2,3,66,38,33,14,11,3,3,1,58,87,56
32108,32108,Australian Open,Hard,20110117,104918,23.6,105011,6-1 6-3 6-3,R64,16,0,82,52,41,13,13,3,4,1,63,79,43
32132,32132,Australian Open,Hard,20110117,104918,23.6,104198,6-1 6-1 6-2,R32,10,1,58,37,29,12,11,1,2,1,64,78,60
32144,32144,Australian Open,Hard,20110117,104918,23.6,103781,6-3 6-1 6-1,R16,13,3,70,40,33,17,12,7,8,1,57,82,63
